content,asertividad,autoconciencia emocional,autoestima,desarrollar y estimular a los demás,empatía,autocontrol emocional,influencia,liderazgo,optimismo,relación social,colaboración y cooperación,comprensión organizativa,conciencia crítica,desarrollo de las relaciones,tolerancia a la frustración,comunicacion asertiva,manejo de conflictos,motivación de logro,percepción y comprensión emocional,violencia
Lo único que hacen es deforestar y deforestar la selva de la amazonía peruana en este caso. El que no quiere nada de tecnologia y eso simplemente vive como los no contactados.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Digan lo que digan, esta gente contamina menos que tu mientras estas leyendo este comentario.",0,0,0,0,0,0,0,0,0,0.2,0,0.18,0.18,0,0,0,0,0,0,0
Interesante este grupo de personas pero que va a pasar con la selva??? Están dejando que ésta gente destruya el Amazonas dañando el ecosistema y la biodiversidad de esa región ??,0,0.17,0.18,0.23,0,0,0.21,0,0,0.21,0,0,0,0.19,0.15,0,0.33,0,0.17,0.31
XD lo mas loco que pase es que estos menonitas traigan la industrialización de la agricultura a Perú,0,0,0,0,0,0.17,0.19,0,0,0,0,0,0,0,0,0,0.16,0,0.33,0
"Expulsan al tipo por tener un celular para emergencias médicas y lo primero que hacen es mudarse con ayuda de autos, tractores y aviones. Que hipócritas.",0,0,0,0,0.39,0.3,0.18,0.21,0,0.19,0.14,0.17,0.16,0.18,0.27,0.13,0.3,0.42,0.16,0.26
y solo deciden esta tierra es mia..o como se posesionan de ella..es decir.. a quien le pagan por tomarla posesión de la tierra,0,0,0.17,0.2,0.2,0,0.37,0.22,0.16,0,0.15,0,0,0,0,0.14,0,0.22,0,0
Que pagen impuestos en los paises que reciden. Tambien es necesario esos terrenos para los paises de centro y sudamérica.,0,0,0,0,0,0,0.19,0,0,0,0.3,0,0,0.19,0,0.29,0,0.43,0,0
"Viviendo sin las preocupaciones del mundo moderno, que bueno.",0.13,0,0.18,0.22,0.22,0.17,0,0,0,0.21,0,0,0.18,0,0.15,0,0.17,0,0.17,0
"rechazo este tipo de vida, creo que los niños deberian elegir que tipo de religion deben llevar, por mientras deben recibir la educacion, para no limitar sus potenciales.",0,0.16,0,0,0.41,0.31,0.37,0.44,0,0.39,0.15,0.35,0.34,0.37,0.28,0.14,0.31,0.66,0.33,0.8
La Virgen .. expresión.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Durara este paripe hasta que a uno se le vaya la cabeza y mate a todos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0.31
El profesor de la escuela tiene una cara de 🎻😐,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Demaciado interesante, muy buen documental.",0,0,0,0.35,0,0,0.32,0,0,0.34,0,0,0,0.32,0,0,0,0,0,0
No entiendo evitan la modernidad y se suben en avión 😐,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.19,0,0,0,0.24,0,0
Quiero una mujer de esa jjjj hay si mi esposa ve este comentario no se lo que pueda pasar jjjj bueno en verdad quiero una chica de esas.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0.16,0
Estos representan el tipo de personas que dios quiere que aviten en la fas de la tierra por los siglos de los siglos jente vuena no la vasura que el mundo esta lleno,0,0.15,0,0,0.2,0.31,0.37,0.22,0.16,0.19,0,0.18,0.34,0,0.14,0,0.16,0.44,0.32,0.27
"Perú necesita mas gente como esta, trabajadores y honrados.",0,0,0.17,0.2,0,0.15,0.18,0,0,0.19,0,0,0.16,0.18,0,0,0,0,0.16,0
Que nivel de estupidez!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ya entro la perdicion a los menonitas ya se haran como todo el mundo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Justo el documental que quería ver, excelente trabajo.",0,0.84,0.31,0.37,1.2,0.28,0.34,0,0,0,0,0,0.31,0.33,0,0,0,0,0,0
"Y yo aquí!!! Perdiendo el tiempo , por los terrenos de la abuela ..",0.14,0,0,0,0,0,0.21,0,0,0.21,0.16,0,0,0.2,0,0,0.34,0,0,0.33
Waooo supera la ficción!!!!!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y acá te das cuenta de la forma de pensar del resto del mundo,0,0,0,0,0.2,0,0.18,0,0.16,0,0,0,0.16,0,0.14,0,0,0,0,0
Pobres personas que viven de una ignorancia profunda,0,0.2,0,0,0.22,0,0,0,0,0.22,0,0,0.21,0,0,0,0,0.23,0,0
¿Ya existe el documental de lo que pasó después? me refiero a la terrible deforestación y daño ambiental que ha ocasionado esta colonia.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0.18,0.33
"No quieren tener nada que ver con el mundo moderno y tienen una lavadora y se supone que no tienen electricidad, tienen tractores y rentan un camión para llevar todo y tienen una camioneta y se van en avión a peru. No entendo, son muchas contradicciones al igual que en sus creencias y religión.",0,0,0.17,0,0,0,0,0,0,0,0.28,0,0,0.18,0,0.13,0,0.21,0,0
Mm! Con ese celular puede dar viajes de Uber en su carreta dentro de su comunidad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-.- por su gran llegada a mi pais tenemos un gran problema de deforestación de areas protegidas, de que sirve una religion si ni respeta la naturaleza, lamentable.... nos causaron un gran problema y espero que los procesen por eso",0.12,0.15,0.34,0.2,0.59,0.15,0.18,0.22,0,0.38,0.14,0.34,0.5,0.36,0.28,0.27,0.46,0,0.32,0.81
deberia aver un transporte al estilo pica piedra para los menonitas xD !!,0,0.15,0,0.2,0.2,0.15,0.18,0,0,0,0.14,0,0,0.18,0.14,0.13,0.15,0.21,0,0.26
Bien,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuando la segunda parte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La biblia no dice eso pero es el hombre que quiere el poder y cambia todo a su gusto...,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0
una gran mentira Dios creo el mundo para que disfrutemos ya el pecado es otra cosa!,0.12,0.16,0.18,0.21,0.21,0.32,0.19,0,0.33,0.4,0.15,0.18,0.17,0.19,0.15,0.14,0,0.45,0.5,0.27
Se ven con menos problemas mentales que la sociedad actual 🤔 es muy interesante 🤔🤔🤔,0,0,0,0.21,0,0,0.19,0,0,0.19,0,0,0.17,0.18,0,0,0.16,0,0,0.28
